30-06-04,10413.43,10489.16,10348.98,10435.48,14738000,10435.48
29-06-04,10356.35,10460.25,10315.65,10413.43,13750000,10413.43
28-06-04,10377.52,10505.16,10317.64,10357.09,13546000,10357.09
25-06-04,10444.24,10514.67,10329.88,10371.84,18129000,10371.84
24-06-04,10477.43,10530.01,10398.16,10443.81,13949000,10443.81
23-06-04,10395.14,10498.67,10323.32,10479.57,14442000,10479.57
22-06-04,10370.21,10431.05,10284.24,10395.07,13823000,10395.07
21-06-04,10417.82,10471.76,10336.44,10371.47,11239000,10371.47
18-06-04,10375.82,10471.84,10328.20,10416.41,15006000,10416.41
17-06-04,10378.59,10417.69,10308.25,10377.52,12967000,10377.52
16-06-04,10380.23,10433.52,10320.60,10379.58,11684000,10379.58
15-06-04,10336.51,10464.04,10319.89,10380.43,13459000,10380.43
14-06-04,10401.23,10403.50,10283.48,10334.73,11794000,10334.73
10-06-04,10367.80,10448.00,10333.94,10410.10,11606000,10410.10
9-06-04,10431.10,10466.59,10325.07,10368.44,12768000,10368.44
8-06-04,10389.41,10462.97,10323.94,10432.52,11903000,10432.52
7-06-04,10243.31,10410.81,10243.31,10391.08,12118000,10391.08
4-06-04,10196.83,10327.84,10196.83,10242.82,11153000,10242.82
3-06-04,10261.85,10309.46,10163.40,10195.91,12324000,10195.91
2-06-04,10199.78,10310.10,10170.57,10262.97,12517000,10262.97
1-06-04,10187.18,10254.17,10104.07,10202.65,12380000,10202.65
28-05-04,10205.83,10250.27,10137.14,10188.45,11726000,10188.45
27-05-04,10109.89,10267.66,10106.13,10205.20,14475000,10205.20
26-05-04,10116.84,10175.75,10034.16,10109.89,13694000,10109.89
25-05-04,9958.08,10139.27,9895.41,10117.62,15457000,10117.62
24-05-04,9968.02,10084.91,9891.22,9958.43,12275000,9958.43
21-05-04,9939.34,10058.50,9910.81,9966.74,12586000,9966.74
20-05-04,9939.12,10014.50,9867.73,9937.64,12110000,9937.64
19-05-04,9962.55,10124.79,9919.90,9937.71,15486000,9937.71
18-05-04,9906.71,10028.27,9895.77,9968.51,13530000,9968.51
17-05-04,10009.92,10009.92,9827.21,9906.91,14301000,9906.91
14-05-04,10008.43,10096.69,9912.45,10012.87,13359000,10012.87
13-05-04,10044.31,10100.24,9924.94,10010.74,14111000,10010.74
12-05-04,10011.52,10089.87,9822.10,10045.16,16976000,10045.16
11-05-04,9989.24,10092.78,9928.91,10019.47,15338000,10019.47
10-05-04,10116.28,10116.28,9881.86,9990.02,19184000,9990.02
7-05-04,10240.62,10302.93,10086.94,10117.34,16536000,10117.34
6-05-04,10308.20,10332.10,10147.21,10241.26,15093000,10241.26
5-05-04,10316.98,10382.98,10249.63,10310.95,14690000,10310.95
4-05-04,10314.32,10403.14,10232.31,10317.20,16621000,10317.20
3-05-04,10227.27,10365.74,10199.67,10314.00,15716000,10314.00
30-04-04,10273.06,10374.61,10198.39,10225.57,16347000,10225.57
29-04-04,10339.41,10443.81,10199.31,10272.27,18590000,10272.27
28-04-04,10476.67,10479.58,10301.65,10342.60,18556000,10342.60
27-04-04,10445.38,10570.92,10410.52,10478.16,15180000,10478.16
26-04-04,10472.91,10540.26,10396.75,10444.73,12906000,10444.73
23-04-04,10463.11,10543.95,10362.97,10472.84,13961000,10472.84
22-04-04,10314.99,10529.12,10255.88,10461.20,18267000,10461.20
21-04-04,10311.87,10398.53,10200.38,10317.27,17381000,10317.27
20-04-04,10437.85,10530.61,10297.39,10314.50,15085000,10314.50
19-04-04,10451.62,10501.79,10351.97,10437.85,11949000,10437.85
16-04-04,10398.32,10500.57,10343.74,10451.97,14878000,10451.97
15-04-04,10377.95,10481.21,10279.37,10397.46,15687000,10397.46
14-04-04,10378.10,10453.39,10259.35,10377.95,15477000,10377.95
13-04-04,10516.05,10572.13,10343.17,10381.28,14232000,10381.28
12-04-04,10444.38,10559.28,10439.27,10515.56,11024000,10515.56
8-04-04,10482.77,10590.15,10383.84,10442.03,11998000,10442.03
7-04-04,10569.26,10580.51,10422.74,10480.15,14588000,10480.15
6-04-04,10553.76,10596.37,10467.26,10570.81,13977000,10570.81
5-04-04,10470.59,10582.22,10423.33,10558.37,14137000,10558.37
2-04-04,10375.33,10548.74,10375.33,10470.59,16292000,10470.59
1-04-04,10357.52,10449.33,10299.48,10373.33,15607000,10373.33
31-03-04,10380.89,10428.59,10287.11,10357.70,15607000,10357.70
30-03-04,10327.63,10411.41,10264.15,10381.70,13324000,10381.70
29-03-04,10212.91,10389.93,10212.91,10329.63,14055000,10329.63
26-03-04,10218.37,10306.22,10145.63,10212.97,13191000,10212.97
25-03-04,10049.56,10246.15,10049.56,10218.82,14717000,10218.82
24-03-04,10065.41,10140.23,9975.86,10048.23,15278000,10048.23
23-03-04,10066.67,10177.04,10020.75,10063.64,14582000,10063.64
22-03-04,10185.93,10185.93,9985.19,10064.75,14523000,10064.75
19-03-04,10295.85,10355.41,10163.71,10186.60,14574000,10186.60
18-03-04,10298.96,10355.04,10187.78,10295.78,13692000,10295.78
17-03-04,10184.30,10356.59,10184.30,10300.30,14901000,10300.30
16-03-04,10103.41,10253.26,10085.34,10184.67,15007000,10184.67
15-03-04,10238.45,10252.68,10066.08,10102.89,16006000,10102.89
12-03-04,10130.67,10281.63,10097.04,10240.08,13885000,10240.08
11-03-04,10288.85,10356.22,10102.75,10128.38,18899000,10128.38
10-03-04,10457.59,10523.11,10259.34,10296.89,16484000,10296.89
9-03-04,10529.52,10567.03,10391.48,10456.96,14994000,10456.96
8-03-04,10595.37,10677.85,10505.85,10529.48,12544000,10529.48
5-03-04,10582.59,10681.40,10497.11,10595.55,13982000,10595.55
4-03-04,10593.48,10645.33,10522.59,10588.00,12658000,10588.00
3-03-04,10588.59,10651.03,10506.66,10593.11,13345000,10593.11
2-03-04,10678.36,10713.92,10539.40,10591.48,14760000,10591.48
1-03-04,10582.25,10720.14,10568.74,10678.14,14971000,10678.14
27-02-04,10581.55,10689.55,10519.03,10583.92,15404000,10583.92
26-02-04,10598.14,10652.96,10493.70,10580.14,13839000,10580.14
25-02-04,10566.59,10660.73,10509.40,10601.62,13607000,10601.62
24-02-04,10609.55,10681.40,10479.33,10566.37,15436000,10566.37
23-02-04,10619.55,10711.84,10508.89,10609.62,13804000,10609.62
20-02-04,10666.29,10722.77,10559.11,10619.03,14796000,10619.03
19-02-04,10674.59,10794.95,10626.44,10664.73,15628000,10664.73
18-02-04,10706.68,10764.36,10623.62,10671.99,13824000,10671.99
17-02-04,10628.88,10762.07,10628.88,10714.88,13965000,10714.88
13-02-04,10696.22,10755.47,10578.66,10627.85,13292000,10627.85
12-02-04,10735.18,10775.03,10636.44,10694.07,14643000,10694.07
11-02-04,10605.48,10779.40,10561.55,10737.70,16993000,10737.70
10-02-04,10578.74,10667.03,10511.18,10613.85,14039000,10613.85
9-02-04,10592.00,10634.81,10433.70,10579.03,13035000,10579.03
6-02-04,10494.89,10634.81,10433.70,10593.03,14776000,10593.03
5-02-04,10469.33,10566.37,10399.92,10495.55,15666000,10495.55
4-02-04,10503.11,10567.85,10394.81,10470.74,16348000,10470.74
3-02-04,10499.48,10571.48,10414.15,10505.18,14769000,10505.18
2-02-04,10487.78,10614.44,10395.55,10499.18,15992000,10499.18
30-01-04,10510.22,10551.03,10385.56,10488.07,16350000,10488.07
29-01-04,10467.41,10611.56,10369.92,10510.29,19219000,10510.29
28-01-04,10610.07,10703.25,10412.44,10468.37,18420000,10468.37
27-01-04,10701.10,10748.81,10579.33,10609.92,16731000,10609.92
26-01-04,10568.00,10725.18,10510.44,10702.51,14806000,10702.51
23-01-04,10625.25,10691.77,10490.14,10568.29,15612000,10568.29
22-01-04,10624.22,10717.40,10545.03,10623.18,16937000,10623.18
21-01-04,10522.77,10665.70,10453.11,10623.62,17576000,10623.62
20-01-04,10601.40,10676.96,10447.92,10528.66,16982000,10528.66
16-01-04,10556.37,10666.88,10503.70,10600.51,17211000,10600.51
15-01-04,10534.52,10639.03,10454.52,10553.85,16950000,10553.85
14-01-04,10428.67,10573.85,10426.89,10538.37,15146000,10538.37
13-01-04,10485.18,10539.25,10341.19,10427.18,15959000,10427.18
12-01-04,10461.55,10543.03,10389.85,10485.18,15102000,10485.18
9-01-04,10589.25,10603.48,10420.52,10458.89,17207000,10458.89
8-01-04,10530.07,10651.99,10480.59,10592.44,18684000,10592.44
7-01-04,10535.46,10587.55,10432.00,10529.03,17049000,10529.03
6-01-04,10543.85,10584.07,10454.37,10538.66,14945000,10538.66
5-01-04,10411.85,10575.92,10411.85,10544.07,15782000,10544.07
2-01-04,10452.74,10554.96,10367.41,10409.85,11532000,10409.85
31-12-03,10426.30,10494.44,10382.89,10453.92,10275000,10453.92
30-12-03,10449.70,10493.11,10374.52,10425.04,10126000,10425.04
